,Year,War Name,War Type & Number
344,1917,Russian Civil War of 1917-1921,Intra-State War #677
345,1918,Second Sino-Tibetan War of 1918,Extra-State War #440
346,1918,Finnish Civil War of 1918,Intra-State War #680
347,1918,Caco Revolt of 1918-1920,Extra-State War #441
348,1918,Western Ukrainian War of 1918-1919,Intra-State War #681
349,1918,Estonian War of Liberation of 1918-1920,Inter-State War #107
350,1918,Latvian War of Liberation of 1918-1920,Inter-State War #108
351,1919,Sparticist Rising of 1919,Intra-State War #682
352,1919,Russo-Polish War of 1919-1920,Inter-State War #109
353,1919,Hungary's Red Terror War of 1919-1920,Intra-State War #683
354,1919,Hungarian Adversaries War of 1919,Inter-State War #112
355,1919,Third British-Afghan War of 1919,Extra-State War #442
356,1919,Second Greco-Turkish War of 1919-1922,Inter-State War #115
357,1919,First Nejd-Hejaz War of 1919,Non-State War #1567
358,1919,First British-Waziristan War of 1919-1920,Extra-State War #443
359,1919,Franco-Turkish War of 1919-1921,Inter-State War #116
360,1920,Franco-Syrian War of 1920,Extra-State War #444
361,1920,Iraqi-British War of 1920,Extra-State War #445
362,1920,First Chinese Warlord War of 1920,Intra-State War #685
363,1920,Lithuanian-Polish War of 1920,Inter-State War #117
364,1920,Green Rebellion of 1920-1921,Intra-State War #686
365,1920,Gilan Marxists War of 1920-1921,Intra-State War #687
366,1920,Conquest of Mongolia of 1920-1921,Extra-State War #446
367,1920,Italian Fascist War of 1920-1922,Intra-State War #688
368,1921,Kronstadt Rebellion of 1921,Intra-State War #690
369,1921,Rif Rebellion of 1921-1926,Extra-State War #449
370,1921,Moplah Rebellion of 1921-1922,Extra-State War #450
371,1921,Bashmachi in Turkestan War of 1921-1923,Intra-State War #691
372,1922,Second Chinese Warlord War of 1922,Intra-State War #692
373,1923,Italian-Sanusi War of 1923-1931,Extra-State War #447
374,1923,Agrarian Rising of 1923,Intra-State War #693
375,1923,De La Huerta Rebellion of 1923-1924,Intra-State War #695
376,1924,Honduran Conservative War of 1924,Intra-State War #696
377,1924,First Afghan Anti-Reform War of 1924-1925,Intra-State War #697
378,1924,Second Nejd-Hejaz War of 1924-1925,Non-State War #1568
379,1925,Franco-Druze War of 1925-1927,Extra-State War #451
380,1925,Third Chinese Warlord War of 1925-1926,Intra-State War #698
381,1926,Chinese Northern Expedition War of 1926-1928,Intra-State War #700
382,1926,Cristeros Revolt of 1926-1929,Intra-State War #701
383,1928,Ethiopian Northern Resistance of 1928-1930,Intra-State War #702
384,1928,Second Gansu Muslim War of 1928-1930,Intra-State War #703
385,1928,Second Afghan Anti-Reform War of 1928-1929,Intra-State War #705
386,1929,Intra-Guomindang War of 1929-1930,Intra-State War #706
387,1929,Escoban Rebellion of 1929,Intra-State War #707
388,1929,Ikhwan Revolt of 1929-1930,Intra-State War #708
389,1929,Manchurian War of 1929,Inter-State War #118
390,1930,Yen Bai Uprising of 1930-1931,Extra-State War #452
391,1930,Chinese Civil War Phase 1 of 1930-1936,Intra-State War #710
392,1930,Saya San's Rebellion of 1930-1932,Extra-State War #453
393,1931,Xinjiang Muslim Revolt of 1931-1934,Intra-State War #711
394,1931,Second Sino-Japanese War of 1931-1933,Inter-State War #121
395,1932,Matanza War of 1932,Intra-State War #712
396,1932,Aprista Revolt of 1932,Intra-State War #713
397,1932,Paulista Rebellion of 1932,Intra-State War #715
398,1932,Chaco War of 1932-1935,Inter-State War #124
399,1934,Fukien Revolt of 1934,Intra-State War #716
400,1934,Saudi-Yemeni War of 1934,Inter-State War #125
401,1934,Spanish Miners War of 1934,Intra-State War #717
402,1935,Conquest of Ethiopia of 1935-1936,Inter-State War #127
403,1936,British-Palestinian War of 1936-1939,Extra-State War #454
404,1936,Spanish Civil War of 1936-1939,Intra-State War #718
405,1936,Second Britain-Waziristan War of 1936-1938,Extra-State War #455
406,1937,Third Sino-Japanese War of 1937-1941,Inter-State War #130
407,1938,Changkufeng War of 1938,Inter-State War #133
408,1939,Nomonhan War of 1939,Inter-State War #136
409,1939,World War II of 1939-1945,Inter-State War #139
410,1939,Russo-Finnish War of 1939-1940,Inter-State War #142
411,1940,Franco-Thai War of 1940-1941,Inter-State War #145
412,1944,Greek Civil War of 1944-1949,Intra-State War #720
413,1945,Polish Ukrainians War of 1945-1947,Intra-State War #721
414,1945,Ukrainian Partisans War of 1945-1947,Intra-State War #722
415,1945,Forest Brethren War of 1945-1951,Intra-State War #723
416,1945,Indonesian War of 1945-1946,Extra-State War #456
417,1946,Chinese Civil War Phase 2 of 1946-1950,Intra-State War #725
418,1946,Partition Communal War of 1946-1947,Non-State War #1570
419,1946,French-Indochina War of 1946-1954,Extra-State War #457
420,1947,Taiwan Revolt of 1947,Intra-State War #726
421,1947,Paraguay War of 1947,Intra-State War #727
422,1947,Third Franco-Madagascan War of 1947-1948,Extra-State War #459
423,1947,Hyderabad War of 1947-1948,Non-State War #1571
424,1947,First Kashmir War of 1947-1949,Inter-State War #147
425,1947,Palestine War of 1947-1948,Non-State War #1572
426,1948,Yemeni Imamate War of 1948,Intra-State War #728
427,1948,Costa Rica War of 1948,Intra-State War #730
428,1948,Cheju Rebellion of 1948-1949,Non-State War #1573
429,1948,Seventh Colombian (“La Violencia”) War of 1948-1958,Intra-State War #731
430,1948,Arab-Israeli War of 1948-1949,Inter-State War #148
431,1948,Malayan Rebellion of 1948-1957,Extra-State War #460
432,1948,First Burmese War of 1948-1951,Intra-State War #732
433,1948,Indo-Hyderabad War of 1948,Extra-State War #461
