dyad,statelno,statelab,statehno,statehab,year,land,sea,total,version
2054,2,"USA",54,"DMA",1989,0,2,2,3.1
2054,2,"USA",54,"DMA",1990,0,2,2,3.1
2054,2,"USA",54,"DMA",1991,0,2,2,3.1
2054,2,"USA",54,"DMA",1992,0,2,2,3.1
2054,2,"USA",54,"DMA",1993,0,2,2,3.1
2054,2,"USA",54,"DMA",1994,0,2,2,3.1
2054,2,"USA",54,"DMA",1995,0,2,2,3.1
2054,2,"USA",54,"DMA",1996,0,2,2,3.1
2054,2,"USA",54,"DMA",1997,0,2,2,3.1
2054,2,"USA",54,"DMA",1998,0,2,2,3.1
2054,2,"USA",54,"DMA",1999,0,2,2,3.1
2054,2,"USA",54,"DMA",2000,0,2,2,3.1
2054,2,"USA",54,"DMA",2001,0,2,2,3.1
2054,2,"USA",54,"DMA",2002,0,2,2,3.1
2054,2,"USA",54,"DMA",2003,0,2,2,3.1
2054,2,"USA",54,"DMA",2004,0,2,2,3.1
2054,2,"USA",54,"DMA",2005,0,2,2,3.1
2054,2,"USA",54,"DMA",2006,0,2,2,3.1
2054,2,"USA",54,"DMA",2007,0,2,2,3.1
